Time,MouthOpen,Frowning,NoddingUp,NoddingDown,Throttle,Brake,Steer,Gear
16:32:30,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:31,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:32,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:33,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
16:32:34,False,False,False,False,0.0,0.0,0.0,1
